Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Donor24_TrypLysC_A Spectral Count	Donor24_TrypLysC_B Spectral Count	Donor24_TrypLysC_C Spectral Count	Donor24_TrypLysC_D Spectral Count	Donor24_TrypLysC_E Spectral Count	Donor24_TrypLysC_F Spectral Count	Donor24_TrypLysC_FT Spectral Count	Donor24_TrypLysC_G Spectral Count	Donor24_TrypLysC_H Spectral Count	Donor29_TrypLysC_A Spectral Count	Donor29_TrypLysC_B Spectral Count	Donor29_TrypLysC_C Spectral Count	Donor29_TrypLysC_D Spectral Count	Donor29_TrypLysC_E Spectral Count	Donor29_TrypLysC_F Spectral Count	Donor29_TrypLysC_FT Spectral Count	Donor29_TrypLysC_G Spectral Count	Donor29_TrypLysC_H Spectral Count	Donor30_TrypLysC_A Spectral Count	Donor30_TrypLysC_B Spectral Count	Donor30_TrypLysC_C Spectral Count	Donor30_TrypLysC_D Spectral Count	Donor30_TrypLysC_E Spectral Count	Donor30_TrypLysC_F Spectral Count	Donor30_TrypLysC_FT Spectral Count	Donor30_TrypLysC_G Spectral Count	Donor30_TrypLysC_H Spectral Count	Donor24_TrypLysC_A Unique Spectral Count	Donor24_TrypLysC_B Unique Spectral Count	Donor24_TrypLysC_C Unique Spectral Count	Donor24_TrypLysC_D Unique Spectral Count	Donor24_TrypLysC_E Unique Spectral Count	Donor24_TrypLysC_F Unique Spectral Count	Donor24_TrypLysC_FT Unique Spectral Count	Donor24_TrypLysC_G Unique Spectral Count	Donor24_TrypLysC_H Unique Spectral Count	Donor29_TrypLysC_A Unique Spectral Count	Donor29_TrypLysC_B Unique Spectral Count	Donor29_TrypLysC_C Unique Spectral Count	Donor29_TrypLysC_D Unique Spectral Count	Donor29_TrypLysC_E Unique Spectral Count	Donor29_TrypLysC_F Unique Spectral Count	Donor29_TrypLysC_FT Unique Spectral Count	Donor29_TrypLysC_G Unique Spectral Count	Donor29_TrypLysC_H Unique Spectral Count	Donor30_TrypLysC_A Unique Spectral Count	Donor30_TrypLysC_B Unique Spectral Count	Donor30_TrypLysC_C Unique Spectral Count	Donor30_TrypLysC_D Unique Spectral Count	Donor30_TrypLysC_E Unique Spectral Count	Donor30_TrypLysC_F Unique Spectral Count	Donor30_TrypLysC_FT Unique Spectral Count	Donor30_TrypLysC_G Unique Spectral Count	Donor30_TrypLysC_H Unique Spectral Count	Donor24_TrypLysC_A Total Spectral Count	Donor24_TrypLysC_B Total Spectral Count	Donor24_TrypLysC_C Total Spectral Count	Donor24_TrypLysC_D Total Spectral Count	Donor24_TrypLysC_E Total Spectral Count	Donor24_TrypLysC_F Total Spectral Count	Donor24_TrypLysC_FT Total Spectral Count	Donor24_TrypLysC_G Total Spectral Count	Donor24_TrypLysC_H Total Spectral Count	Donor29_TrypLysC_A Total Spectral Count	Donor29_TrypLysC_B Total Spectral Count	Donor29_TrypLysC_C Total Spectral Count	Donor29_TrypLysC_D Total Spectral Count	Donor29_TrypLysC_E Total Spectral Count	Donor29_TrypLysC_F Total Spectral Count	Donor29_TrypLysC_FT Total Spectral Count	Donor29_TrypLysC_G Total Spectral Count	Donor29_TrypLysC_H Total Spectral Count	Donor30_TrypLysC_A Total Spectral Count	Donor30_TrypLysC_B Total Spectral Count	Donor30_TrypLysC_C Total Spectral Count	Donor30_TrypLysC_D Total Spectral Count	Donor30_TrypLysC_E Total Spectral Count	Donor30_TrypLysC_F Total Spectral Count	Donor30_TrypLysC_FT Total Spectral Count	Donor30_TrypLysC_G Total Spectral Count	Donor30_TrypLysC_H Total Spectral Count	Donor24_TrypLysC_A Intensity	Donor24_TrypLysC_B Intensity	Donor24_TrypLysC_C Intensity	Donor24_TrypLysC_D Intensity	Donor24_TrypLysC_E Intensity	Donor24_TrypLysC_F Intensity	Donor24_TrypLysC_FT Intensity	Donor24_TrypLysC_G Intensity	Donor24_TrypLysC_H Intensity	Donor29_TrypLysC_A Intensity	Donor29_TrypLysC_B Intensity	Donor29_TrypLysC_C Intensity	Donor29_TrypLysC_D Intensity	Donor29_TrypLysC_E Intensity	Donor29_TrypLysC_F Intensity	Donor29_TrypLysC_FT Intensity	Donor29_TrypLysC_G Intensity	Donor29_TrypLysC_H Intensity	Donor30_TrypLysC_A Intensity	Donor30_TrypLysC_B Intensity	Donor30_TrypLysC_C Intensity	Donor30_TrypLysC_D Intensity	Donor30_TrypLysC_E Intensity	Donor30_TrypLysC_F Intensity	Donor30_TrypLysC_FT Intensity	Donor30_TrypLysC_G Intensity	Donor30_TrypLysC_H Intensity	Donor24_TrypLysC_A MaxLFQ Intensity	Donor24_TrypLysC_B MaxLFQ Intensity	Donor24_TrypLysC_C MaxLFQ Intensity	Donor24_TrypLysC_D MaxLFQ Intensity	Donor24_TrypLysC_E MaxLFQ Intensity	Donor24_TrypLysC_F MaxLFQ Intensity	Donor24_TrypLysC_FT MaxLFQ Intensity	Donor24_TrypLysC_G MaxLFQ Intensity	Donor24_TrypLysC_H MaxLFQ Intensity	Donor29_TrypLysC_A MaxLFQ Intensity	Donor29_TrypLysC_B MaxLFQ Intensity	Donor29_TrypLysC_C MaxLFQ Intensity	Donor29_TrypLysC_D MaxLFQ Intensity	Donor29_TrypLysC_E MaxLFQ Intensity	Donor29_TrypLysC_F MaxLFQ Intensity	Donor29_TrypLysC_FT MaxLFQ Intensity	Donor29_TrypLysC_G MaxLFQ Intensity	Donor29_TrypLysC_H MaxLFQ Intensity	Donor30_TrypLysC_A MaxLFQ Intensity	Donor30_TrypLysC_B MaxLFQ Intensity	Donor30_TrypLysC_C MaxLFQ Intensity	Donor30_TrypLysC_D MaxLFQ Intensity	Donor30_TrypLysC_E MaxLFQ Intensity	Donor30_TrypLysC_F MaxLFQ Intensity	Donor30_TrypLysC_FT MaxLFQ Intensity	Donor30_TrypLysC_G MaxLFQ Intensity	Donor30_TrypLysC_H MaxLFQ Intensity	Indistinguishable Proteins
sp|P29317|EPHA2_HUMAN	P29317	EPHA2_HUMAN	EPHA2	976	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ephrin type-A receptor 2	1.0	0.9988	5	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.952286E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P29373|RABP2_HUMAN	P29373	RABP2_HUMAN	CRABP2	138	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cellular retinoic acid-binding protein 2	1.0	0.9981	2	4	3	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0.0	1.1042389E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4816350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2607689E7	0.0	0.0	0.0	1.040928E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P29401-2|TKT_HUMAN	P29401-2	TKT_HUMAN	TKT	631	Homo sapiens OX=9606		Isoform 2 of Transketolase	1.0	0.999	20	47	0	47	0	0	0	0	0	5	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	29	0	0	0	0.0	0.0	0.0	138280.1	0.0	5.6720556E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8361559E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5488466E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4550832E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.49040064E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9704909E8	0.0	0.0	0.0	sp|P29401|TKT_HUMAN
sp|P29558-2|RBMS1_HUMAN	P29558-2	RBMS1_HUMAN	RBMS1	403	Homo sapiens OX=9606		Isoform 2 of RNA-binding motif, single-stranded-interacting protein 1	1.0	0.999	4	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0232128E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.629124E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7606744E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3612464E7	0.0	0.0	0.0	sp|P29558|RBMS1_HUMAN
sp|P29590-10|PML_HUMAN	P29590-10	PML_HUMAN	PML	435	Homo sapiens OX=9606		Isoform PML-7 of Protein PML	0.78	0.9966	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1807481.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P29590-11|PML_HUMAN, sp|P29590-12|PML_HUMAN, sp|P29590-13|PML_HUMAN, sp|P29590-14|PML_HUMAN, sp|P29590-2|PML_HUMAN, sp|P29590-3|PML_HUMAN, sp|P29590-4|PML_HUMAN, sp|P29590-5|PML_HUMAN, sp|P29590-8|PML_HUMAN, sp|P29590-9|PML_HUMAN, sp|P29590|PML_HUMAN
sp|P29622|KAIN_HUMAN	P29622	KAIN_HUMAN	SERPINA4	427	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kallistatin	1.0	0.999	16	55	55	55	0	1	7	5	7	2	0	2	0	0	0	4	6	1	0	0	1	0	0	0	5	4	7	1	0	1	1	0	1	7	5	7	2	0	2	0	0	0	4	6	1	0	0	1	0	0	0	5	4	7	1	0	1	1	0	1	7	5	7	2	0	2	0	0	0	4	6	1	0	0	1	0	0	0	5	4	7	1	0	1	1	0.0	1.9583976E7	4.1601828E7	1.9575478E7	7.270428E7	8.9622424E7	0.0	9.9392176E7	6.884516E7	0.0	0.0	4.789264E7	1.8773258E7	3.84563E7	2.58638224E8	0.0	6.1647936E7	5.6598356E7	0.0	0.0	4.4195632E7	1.9225466E7	6.415808E7	3.7514552E7	0.0	6.492506E7	5.036816E7	0.0	0.0	4783860.5	6646472.0	2.468377E7	3.761972E7	0.0	4.0149948E7	4.2357928E7	0.0	0.0	5121936.0	6980874.0	8555327.0	1.93739536E8	0.0	3.3029064E7	3.58174E7	0.0	0.0	3.3140946E7	8303389.0	2.4640952E7	0.0	0.0	3.2069924E7	3.1396466E7	
sp|P29692-2|EF1D_HUMAN	P29692-2	EF1D_HUMAN	EEF1D	647	Homo sapiens OX=9606		Isoform 2 of Elongation factor 1-delta	1.0	0.999	8	13	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0.0	0.0	0.0	0.0	0.0	809205.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09161552E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33877024E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1704192E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.938896E7	0.0	0.0	0.0	sp|P29692|EF1D_HUMAN
sp|P29966|MARCS_HUMAN	P29966	MARCS_HUMAN	MARCKS	332	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myristoylated alanine-rich C-kinase substrate	1.0	0.999	3	5	5	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.519222E7	3285837.2	0.0	0.0	0.0	6108098.5	0.0	0.0	0.0	3.1916338E7	0.0	0.0	0.0	0.0	4.6595536E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30040|ERP29_HUMAN	P30040	ERP29_HUMAN	ERP29	261	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoplasmic reticulum resident protein 29	1.0	0.9989	2	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8289998E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0639408E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30041|PRDX6_HUMAN	P30041	PRDX6_HUMAN	PRDX6	224	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxiredoxin-6	1.0	0.999	10	18	18	18	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	10	0	0	0	0.0	0.0	0.0	0.0	0.0	6.60052E7	0.0	4.3640364E7	2.3514478E7	0.0	0.0	0.0	0.0	2.367153E7	1.08210061E9	0.0	3.1274694E7	0.0	0.0	0.0	0.0	0.0	4.4663384E7	9.5132819E8	0.0	4.1623728E7	7778472.5	0.0	0.0	0.0	0.0	0.0	2.5816248E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.51853344E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96385344E8	0.0	0.0	0.0	
sp|P30044-2|PRDX5_HUMAN	P30044-2	PRDX5_HUMAN	PRDX5	162	Homo sapiens OX=9606		Isoform Cytoplasmic+peroxisomal of Peroxiredoxin-5, mitochondrial	1.0	0.999	5	9	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0.0	0.0	0.0	0.0	0.0	2.56507E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.87757376E8	0.0	0.0	3.966756E7	0.0	0.0	0.0	1.7410458E7	0.0	5.25685824E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.946097E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.69212992E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36216768E8	0.0	0.0	0.0	sp|P30044|PRDX5_HUMAN
sp|P30048-2|PRDX3_HUMAN	P30048-2	PRDX3_HUMAN	PRDX3	238	Homo sapiens OX=9606		Isoform 2 of Thioredoxin-dependent peroxide reductase, mitochondrial	1.0	0.999	4	10	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15883152E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.6671112E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9436712E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4214892E7	0.0	0.0	0.0	sp|P30048|PRDX3_HUMAN
sp|P30049|ATPD_HUMAN	P30049	ATPD_HUMAN	ATP5F1D	168	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase subunit delta, mitochondrial	0.92	0.999	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9282864E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3115088E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30050|RL12_HUMAN	P30050	RL12_HUMAN	RPL12	165	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L12	1.0	0.999	4	8	5	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0.0	0.0	0.0	0.0	0.0	8177711.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.27813024E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63916992E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2369496E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.28728768E8	0.0	0.0	0.0	
sp|P30084|ECHM_HUMAN	P30084	ECHM_HUMAN	ECHS1	290	Homo sapiens OX=9606	1:Experimental evidence at protein level	Enoyl-CoA hydratase, mitochondrial	1.0	0.999	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3893264E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.761904E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2092776E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2119322E7	0.0	0.0	0.0	
sp|P30085-3|KCY_HUMAN	P30085-3	KCY_HUMAN	CMPK1	228	Homo sapiens OX=9606		Isoform 3 of UMP-CMP kinase	1.0	0.998	3	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.488316E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.005488E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P30085|KCY_HUMAN
sp|P30086|PEBP1_HUMAN	P30086	PEBP1_HUMAN	PEBP1	187	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylethanolamine-binding protein 1	1.0	0.999	6	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0.0	0.0	0.0	0.0	0.0	1388443.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41580032E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.608976E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.8012888E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8343512E7	0.0	0.0	0.0	
sp|P30101|PDIA3_HUMAN	P30101	PDIA3_HUMAN	PDIA3	505	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein disulfide-isomerase A3	1.0	0.999	15	26	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	18	0	0	0	0.0	0.0	0.0	0.0	0.0	1.5006899E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.857111E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.120064E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03997416E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58689568E8	0.0	0.0	0.0	
sp|P30153|2AAA_HUMAN	P30153	2AAA_HUMAN	PPP2R1A	589	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	1.0	0.999	9	14	11	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	9	0	0	0	0.0	0.0	0.0	0.0	0.0	9718975.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47509392E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2137136E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.643128E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32842592E8	0.0	0.0	0.0	
sp|P30273|FCERG_HUMAN	P30273	FCERG_HUMAN	FCER1G	86	Homo sapiens OX=9606	1:Experimental evidence at protein level	High affinity immunoglobulin epsilon receptor subunit gamma	0.45	0.9851	1	2	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0587216E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30408|T4S1_HUMAN	P30408	T4S1_HUMAN	TM4SF1	202	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane 4 L6 family member 1	1.0	0.999	1	11	11	11	2	0	1	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	9.1366336E7	0.0	1226790.9	0.0	0.0	0.0	0.0	0.0	0.0	6.2942184E7	2.2756406E7	1299446.0	0.0	0.0	1.2836627E7	0.0	0.0	0.0	0.0	5.350028E7	0.0	0.0	0.0	1.4751345E7	0.0	0.0	0.0	5.9535804E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0358604E7	1.4029721E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5284864E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
